Years,Age dependency ratio (% of working-age population),GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1972,60.0046495609534,4.32166756962231,3.96855607900957,7.18825188402374,5.1710477559332,0.400390461530008,51.3906902338671,0.29084168320383,41.569431627825,77.195,10
1973,60.1523219717184,6.52384848717706,6.31824501880698,8.41487853048275,4.90616105746511,0.408170945299307,51.376100973591,-0.382676747053772,47.4304221696313,77.358,9
1974,60.0780844346666,-2.48440405800613,-2.54587723829528,15.0592126445052,5.06942711490535,0.427756439747663,51.356633356781,-5.26616904917135,58.7204994159872,77.521,8
1975,59.7493869660106,-1.47364945113077,-1.46633521127663,25.7707279671042,5.33960343915615,0.452041165666667,51.3377749917458,-12.1674069537389,52.7400836429526,77.683,7
1976,59.1494463472092,2.91026615928646,2.93558914391343,15.1135672667405,5.17550333681554,0.556509832333334,51.3294428308551,-3.48579004370741,57.4007925840093,77.844,6
1977,58.4049625622044,2.45775049016747,2.49143783243224,13.7104941413511,4.92327762103886,0.573271999,51.3344947699837,-4.22003924168985,58.9106533789518,78.005,5
1978,57.6622386445546,4.20426047029908,4.19867536784257,11.4575470335583,4.73304308586993,0.521504582333334,51.3392630891047,-2.12134314497915,54.9658489521189,78.164,4
1979,56.9221498679676,3.74901664423379,3.65596579348365,14.066541267377,4.67975756747534,0.472181165666667,51.333564560999,-0.325891299861888,54.6416439532449,78.323,3
1980,56.1772144491518,-2.03136780182236,-2.14838727777156,19.703794651774,5.01990345888742,0.430294999,51.330989687237,-2.83291881289615,51.2923400946947,78.481,2
1981,55.3658298056407,-0.787743787095451,-0.822285198812807,11.5692627872042,4.98376336921746,0.497641332333334,51.341118879631,1.51093336164726,49.3737636806214,78.588,1
1982,54.3987148364994,1.99489123324395,2.03145560428536,7.41877494736352,5.38132652115477,0.572446832333333,51.352484904185,4.20056151405023,49.5961959065716,78.539,0
1980,50.3205679983998,-0.256775732470302,-1.20932407292817,9.03310538792248,5.15353746651636,1.0,51.3316820721847,5.71636286358695,20.1098446894226,73.738,10
1981,50.0520528903637,2.53770126730302,1.53630241719003,9.46216408749201,5.64654125624258,1.0,51.3021412279737,8.59460069233457,19.4259131704272,73.89,9
1982,49.9439250729823,-1.80301378770601,-2.73469491077486,6.17840414954172,6.81405709441284,1.0,51.2578846722031,8.17720821228698,17.5368122809184,74.042,8
1983,49.9232284077432,4.58379098591793,3.63185804031656,3.91690878504356,6.32114425976717,1.0,51.2089672331993,6.61803546894282,16.6655934803103,74.194,7
1984,49.8830003733776,7.23645315874113,6.31198921610689,3.60787931289983,6.23641652963897,1.0,51.1580827437964,8.14090660192676,17.5224074224053,74.344,6
1985,49.7654113331785,4.1695753468006,3.25057626031526,3.16252525583639,6.4532192046686,1.0,51.1089087622716,6.56324383365547,16.603906126303,74.494,5
1986,49.7054297393338,3.46265505318908,2.51089496601867,2.01389253563396,6.62652265789842,1.0,51.0643291580197,6.19386958708484,16.8979771514343,74.644,4
1987,49.8926857604386,3.45462966457823,2.5340423430043,2.47738846679574,6.42027402288488,1.0,51.0235149034866,5.58752028345538,17.9735809845702,74.793,3
1988,50.2833103997195,4.17698239778066,3.23533792848181,3.52749985937888,6.0712777020948,1.0,50.9823280815196,5.59030223706963,19.0701007058615,74.942,2
1989,50.77464898173,3.67223783573645,2.69776021537939,3.92075948089523,5.87120600804653,1.0,50.9426847513223,6.6902646662395,19.4151106604887,75.089,1
1990,51.238482086274,1.8859655853434,0.741486721211061,3.74332909937958,5.60517529438794,1.0,50.8809538075126,6.03974985349163,19.8150673537315,75.3,0
2010,42.9172236658305,2.2000000002151,2.91158696816194,7.76871548067652,4.26564605593771,373.660466738817,54.0721195410016,10.6076357898925,64.642975973633,63.44,10
2011,42.8588952887091,4.69999999867412,5.28437530828725,4.28154999826118,3.85394644115574,372.500882448711,54.1357267253019,12.9197578932998,69.4355736620453,63.34,9
2012,43.1066653605776,7.20000000096486,7.33470454115984,5.34580441814725,3.58376691873744,401.763975626916,54.1020493566013,11.2811932906832,75.9616759606704,63.24,8
2013,43.5955735295585,3.3,3.37178358702843,3.36682464224465,3.99724455730484,409.625749270293,54.0660143068409,12.2168430436348,77.5550481598824,63.164,7
2014,44.220347328995,3.60000000058993,3.88187670110254,2.30918242990974,3.94337826474581,415.919789204938,54.0299108068581,13.7812486601176,75.778866962639,63.112,6
2015,45.0074829961521,3.19999999896625,3.51599547257022,1.21390990471085,4.23922578573229,477.918306576099,53.9965568673175,16.1800096730379,71.6820743427575,63.085,5
2016,45.9130890185114,0.199999999825991,0.611877151180408,0.268575076501392,4.09034921699325,480.488150777966,53.9661270827109,17.0423595080455,76.0779674593548,63.082,4
2017,46.8188831337656,7.50000000164144,7.96544606461424,2.15064189848613,3.84973057654684,482.716393849129,53.939449660253,11.9973399575166,87.202376539837,63.103,3
2018,47.4127303230816,5.19999999965324,5.56850117850011,2.78770951425761,4.11988615256896,482.987946590235,53.8890673942814,9.73397739946579,92.473107021212,63.149,2
2019,47.8107543362811,7.59999999853918,7.83608438672164,1.06562263923419,4.78770584078564,480.44512876712,53.8189073448367,10.9595785635957,96.1141541288708,63.219,1
2020,48.1754870679756,-7.19999999920631,-7.16866452731679,1.80659270159933,4.98254372367497,489.008858590915,53.7708430477514,9.63911034033596,69.4888075396076,63.313,0
2010,39.274311233566,5.04894451349574,3.80649102062563,13.5458167908374,2.79100435652891,0.80265,51.9298009697328,6.30070170030242,74.9859884610856,53.406,10
2011,38.7078975091925,0.10000013782458,-1.19584296227708,22.524361140543,4.67013555547022,0.789686388888889,51.8554690665125,-2.88597938752249,80.5080450059522,53.637,9
2012,38.81041962457,2.1652394748416,0.816684128241235,2.88293295403217,4.65861825196324,0.785645349462366,51.7777602392446,15.0296068894244,78.263069540422,53.883,8
2013,39.5493100261129,5.80980084268208,4.45002009882025,0.445064509020867,4.54092330961466,0.784541075268817,51.6996375050779,17.6862204009871,74.6758447629851,54.145,7
2014,40.4458230491559,2.75050681535518,1.47593694077869,-1.28499552026639,4.55501312398224,0.7843475,51.6269001648611,19.3916777101463,69.4832251953347,54.422,6
2015,41.3385630702997,1.09397591627469,-0.103121364891479,-8.84969256895297,5.46487679293858,1.02456381855059,51.5607642894128,28.9454418522707,72.6015079073189,54.714,5
2016,42.2694499411257,-3.09999988037266,-4.17717168005237,14.6714002511137,3.68852730317814,1.59572157270424,51.4509605785238,1.48583383570765,90.0773187345677,55.021,4
2017,42.9697743409433,0.199999938958655,-0.778416126232784,16.1724003104411,3.75630173249661,1.72115480222734,51.3057569592403,0.318577982868449,90.4023156823216,55.343,3
2018,43.1245500256305,1.49999999999999,0.624486167739661,12.1848769569655,3.56240123412697,1.70001666666667,51.1845622192109,4.691769977505,91.6725765369825,55.68,2
2019,43.2140002863056,2.50000006743734,1.63585048130741,-0.241307927446329,3.87341170306515,1.7,51.1129397975862,17.5649086189187,85.8181454084561,56.031,1
2020,43.4171493479948,-4.30000010230737,-4.95270173869491,-7.39596582740913,5.39049499415887,1.7,51.0862790508096,26.5368212837468,72.0178676487811,56.397,0
1989,74.7462897436702,5.94734333181324,3.6060240805828,8.43680886909797,3.53417972767288,16.2255,48.3125665494911,7.43584324824212,15.1681320906695,25.305,10
1990,74.2102460090207,5.53345456125301,3.22351634312818,10.6683038500875,3.14621461029962,17.5035,48.3195450504531,5.26952699827423,15.5062615101965,25.547,9
1991,73.6394717785432,1.05683143496063,-1.11028105297254,13.7518189408817,2.90997432764267,22.7424333333333,48.3240491642076,3.62471659575062,16.9877265511351,25.778,8
1992,73.0414337152497,5.48239602040357,3.25939544010092,8.96515236173758,2.70483970561409,25.9180833333333,48.3258634876185,9.1327494058766,18.433099041828,25.984,7
1993,72.42005748992,4.75077621776924,2.57408951744785,9.8617828547541,2.82354224568723,30.4932916666667,48.3251933029723,5.81477651213036,19.6515397864684,26.191,6
1994,71.767235521839,6.65892407028434,4.50057521481919,9.98004476893246,2.66467372708604,31.3737425,48.3209853530199,4.33710973757939,20.0781443769255,26.399,5
1995,71.0333210055779,7.57449183788519,5.4307028028752,9.06270222432151,2.57848357246069,32.4270766666667,48.3136352812296,5.86417810908186,22.8674487062499,26.607,4
1996,70.2088855735137,7.54952224920051,5.42226141059896,7.57501828948823,2.4727682254674,35.4331733333333,48.3049420078195,7.79299430029867,21.9294878713867,26.817,3
1997,69.3432839707025,4.04982084998183,2.02374489021264,6.4762712593954,2.64773242601716,36.3132858333333,48.295866214558,6.90957899531884,22.6193868670479,27.028,2
1998,68.4423001360828,6.18441582172117,4.14849485733681,8.01016752456401,2.72731141679376,41.259365,48.2867135290433,5.1212763287722,23.6994700790647,27.24,1
1999,67.5027186489675,8.84575555939531,6.79504192468139,3.06839552293496,2.95719564743412,43.0554283333334,48.2782879115501,9.19124732238965,24.8155980442929,27.453,0
1975,91.2331709455532,14.6951958013711,11.8478958191433,15.2872312897992,0.516201117318436,6.294999999,50.1004806535987,-7.18833403932435,36.9453606849877,25.498,2
1976,91.1125362236366,-1.8479408658945,-4.28222124875651,17.2695781685296,0.517512790240063,6.294999999,50.093430500443,-8.75723979647227,31.3867751247566,25.748,1
1977,91.1479534310121,13.6453290299403,10.6486638692391,10.3700771762441,0.460755813953488,6.294999999,50.0852020127345,-3.0534337407979,79.4767423255814,25.999,0
2003,51.8912336913573,11.0570310020104,11.8096106867876,3.42601021010252,1.06848912472203,2.14565,54.4547475892697,19.6559499381247,77.6333765369391,52.83,5
2004,51.6511823672057,5.79268292682926,6.44984993877193,8.4336944783275,1.37383897186186,1.91665,54.3228881728707,12.5915017351008,79.0407459055607,53.218,4
2005,51.1318422314324,9.59113832853026,10.2895785214873,7.93510297063291,3.33916979671741,1.812675,54.2053152269511,8.90886137260652,84.5295975354749,53.605,3
2006,50.5376973981808,9.42148081189909,10.0452966712851,8.44730526034763,5.21830695097827,1.78043333333333,54.1060618912468,7.942062785524,89.125374368197,53.992,2
2007,49.7798016624101,12.5755698246405,13.1643509520424,9.46750810327333,9.15911651704757,1.67049166666667,54.0188008384941,6.95969854014203,88.3934140686603,54.379,1
2008,48.9161113273738,2.42161440960641,2.7332346709434,9.5923273865413,8.52011839531126,1.49079166666667,53.9338449378932,7.71204166235267,86.2982243681487,54.765,0
1998,46.8046745891395,-5.2999616266239,-5.14311536211871,18.5389673419024,2.73264908865687,9.70508333333333,53.1720937827629,19.6160805566126,55.7722532849766,73.359,10
1999,45.0653585397066,6.39991469144101,6.72950292335021,72.3866054661464,3.07328792235108,24.6199,53.1992575703991,-18.9515529417948,69.393281498812,73.354,9
2000,43.5652823296039,10.0000668136515,10.4637091559227,37.6979282123097,3.30702983667541,28.1291666666667,53.2454702729898,-9.63311144269678,68.0939070373555,73.35,8
2001,42.3668405184076,5.10005122572568,5.54671833932643,16.4796193570037,3.54631922908818,29.168525,53.3123822640996,1.22657850722426,61.1108586644206,73.346,7
2002,41.5231777036921,4.69999190914258,5.18275023824988,15.6619063054593,3.75627739108018,31.3484833333333,53.3848772950435,0.0329353853463892,59.6454457319607,73.341,6
2003,41.1118911605145,7.29995234528189,7.78796752390349,13.6571368113275,3.67083808960104,30.692025,53.4558994550059,-0.60017068040332,59.1282690076014,73.373,5
2004,40.933146045048,7.19994786954857,7.63249118230908,20.2551495775111,3.30035364660483,28.8137416666667,53.5348099402358,-7.32898586198476,56.5818523984055,73.418,4
2005,40.7583002208105,6.39996544799469,6.80660765259209,19.279432134411,3.33123723441659,28.2844416666667,53.6170363322882,-7.20668991062193,56.7132484905422,73.463,3
2006,40.542928781967,8.20006825456321,8.55494147469737,15.1204066316764,3.24635723405838,27.1909583333333,53.684633849406,-4.07869184018714,54.733401867266,73.508,2
2007,40.2034276919991,8.49997776916511,8.68576548155966,13.8412392398238,3.1185420747754,25.5808453675404,53.7221832228225,-3.34492661176019,51.7061227454606,73.553,1
2008,39.6340464969755,5.19996926404957,5.24621001829865,18.0135183350842,3.14948602002222,24.852875,53.7417082366674,-4.90496208972303,53.3824660408908,73.598,0
2012,40.8345526687369,0.152314967200653,0.399970155574351,7.98256111045039,1.61331991729012,7.99102933333333,53.4815062764693,9.64012656225921,102.622788356626,68.782,10
2013,41.3166740567217,0.045439094492707,0.273496006330021,4.30879343709354,1.57929167934982,7.993,53.4530393837036,11.8306483626893,94.0016694501782,68.875,9
2014,42.0954905825425,-10.0788949856211,-4.87524996257295,15.9017375254406,2.24502052094788,11.8866594166667,53.4403635400212,1.56710691315341,100.691782483624,68.968,8
2015,43.3341607506951,-9.77298721103519,-9.44383219053168,38.8816797571771,3.25118076341283,21.8446977666667,53.429554584988,-12.2829289797878,107.806616298156,69.061,7
2016,44.485957567843,2.4409819445784,2.85480260756702,17.097134924235,3.15477660251022,25.5513341166667,53.4139854341485,1.82756968718009,105.521204913122,69.154,6
2017,45.6557777135064,2.35997228099491,2.81064547083641,22.0983174978017,2.88440151897159,26.5966063,53.3999584162714,-4.68048423181966,104.034982911399,69.246,5
2018,46.557661136037,3.4883623420827,4.01638177635452,15.3985303493458,3.19235326531891,27.2004923333333,53.3927850410713,3.12512181891459,99.1998150718675,69.352,4
2019,47.2491268952806,3.19950386231294,3.79372391176472,8.24622626771318,3.52015241588676,25.8455893333333,53.3934280714893,10.693658767366,90.5112342910763,69.473,3
2020,47.8846379680524,-3.7528179386597,-3.10165858921107,10.2949601365333,3.81184948136676,26.9575243833333,53.4002898924785,3.62431779160013,79.1564523761815,69.608,2
2021,48.2195987327939,3.44562065700251,4.36448461386128,24.8047567705188,3.22834693677077,27.2861893833333,53.3979688766969,-9.2245269612232,82.69796136345,69.757,1
2022,48.5413219822399,-28.7585842132117,-16.7283581123208,34.9152851391436,33.5465729986209,32.3423016,53.4274891479076,-12.0860052703887,87.3965139907244,69.919,0
2012,39.7122076623378,4.02408615746921,3.76271915500016,8.90786842087834,3.68924043459907,30.8398313519917,53.7026009683707,0.176416618842598,47.1513903857957,73.791,10
2013,40.7840417932466,1.75542214874298,1.45314767875932,5.32013887237915,3.85404258314373,31.8371436402813,53.6756500059607,3.93707019254129,46.287149400499,73.863,9
2014,42.1236258137655,0.736267221765672,-1.12194041744186,7.49007111696609,4.11299297822323,38.3782071444168,53.6540129197431,3.39714683575481,47.8013412628116,73.95,8
2015,43.6560400391556,-1.97271922580408,-2.2762114110788,7.24973590678889,4.87151474680202,60.9376501088951,53.6368781936385,7.89459357479114,49.3593493116887,74.05,7
2016,45.0865219275749,0.193690071260534,-0.0904862004782103,2.84422269802643,5.42514770504505,67.0559333333333,53.6148756953332,9.48435447263491,46.5181198396096,74.164,6
2017,46.4109081650047,1.82579006401834,1.61387325924203,5.34981508767618,4.24899605173948,58.3428011851719,53.5901596696156,4.94560423099718,46.8765243371311,74.292,5
2018,47.5290734735912,2.80724541059601,2.71659271660542,9.99797671148308,3.71982243956434,62.6681333333334,53.5707487006859,-1.02848259453331,51.5809003703964,74.433,4
2019,48.5943754955694,2.19807571335009,2.14202624717367,3.26313281881684,3.86033750437073,64.7376583333333,53.56393962302,5.31670923072754,49.2287536619033,74.587,3
2020,49.5678005245706,-2.65365450102773,-2.52680431743222,0.898246027195242,4.17147890118067,72.1049083333333,53.55968968725,5.8252621205664,45.9669082029127,74.754,2
2021,50.271723309629,5.61429037578345,5.96554013311996,19.4115890615904,3.7204513646667,73.65435,53.5457361902541,-10.2423105030022,50.196441103259,74.934,1
2022,50.9772520257906,-2.06971152527731,-1.73318663190568,16.7152740606271,4.05631633246717,68.4849416666667,53.5440809723326,-4.50335865315288,43.2587048229719,75.126,0
1991,51.6541373756373,-0.108312888962658,-1.43424758492347,3.3818113361103,4.88342939776313,1.0,50.8138006112821,4.91529596120366,19.7864481240974,75.701,10
1992,51.9977277550372,3.52249718409405,2.09666864237157,2.27885434592147,4.97046680768284,1.0,50.7624653696397,3.88429489766143,19.9505945023923,76.097,9
1993,52.1602619489498,2.75179586183873,1.40572318185168,2.37032483639894,4.60435029507644,1.0,50.7103261430005,3.54563216381481,20.0446187019752,76.488,8
1994,52.1445550097576,4.02902272904724,2.76110896950976,2.13519841812374,4.2152646751779,1.0,50.6603956134294,4.89854133804845,21.0554591617453,76.875,7
1995,51.9691102485906,2.68443073540719,1.46892917058395,2.09668848657614,3.8602457917389,1.0,50.6112779949862,6.59421797111052,22.4533816490568,77.257,6
1996,51.6754019155487,3.7727726858688,2.57246399417865,1.83076455933455,3.55498220635218,1.0,50.5612268677032,6.32428598750851,22.6870719902412,77.636,5
1997,51.2932387708189,4.44712794186451,3.19716561383218,1.72444795356148,3.40556224418855,1.0,50.5096341925737,6.60334742359249,23.4283278026178,78.008,4
1998,50.8653430749568,4.48313334577439,3.27222983411085,1.12386562495534,3.20155849896996,1.0,50.454504576304,7.14994526467848,22.8258939797637,78.377,3
1999,50.4451370434482,4.78842505322162,3.59198037783612,1.41509811709537,3.08567678324746,1.0,50.3966081677337,6.48726735143027,23.3135697296238,78.742,2
2000,50.0358331385231,4.07758575804293,2.92586254490257,2.26519517669861,3.11224214697679,1.0,50.3370422682904,6.8137924585142,25.1029855568536,79.057,1
2001,49.6385027806598,0.955538346430316,-0.038731925617185,2.25168991597403,3.12380980266703,1.0,50.2947750682911,4.56713894364996,22.9671830154975,79.234,0
2002,86.3837568242254,-8.20370481187175,-11.0582696179366,8.16786888651433,10.8295344412937,2002.37270286683,50.3006087694797,6.3162297490151,119.762047746987,68.604,1
2003,85.6149589152962,-36.6567804383165,-38.5382182871903,13.8561168354067,10.8295344412937,2002.37270286683,50.272004729083,1.00467431736401,154.234525288266,68.658,0
1993,52.1602619489498,2.75179586183873,1.40572318185168,2.37032483639894,4.60435029507644,1.0,50.7103261430005,3.54563216381481,20.0446187019752,76.488,10
1994,52.1445550097576,4.02902272904724,2.76110896950976,2.13519841812374,4.2152646751779,1.0,50.6603956134294,4.89854133804845,21.0554591617453,76.875,9
1995,51.9691102485906,2.68443073540719,1.46892917058395,2.09668848657614,3.8602457917389,1.0,50.6112779949862,6.59421797111052,22.4533816490568,77.257,8
1996,51.6754019155487,3.7727726858688,2.57246399417865,1.83076455933455,3.55498220635218,1.0,50.5612268677032,6.32428598750851,22.6870719902412,77.636,7
1997,51.2932387708189,4.44712794186451,3.19716561383218,1.72444795356148,3.40556224418855,1.0,50.5096341925737,6.60334742359249,23.4283278026178,78.008,6
1998,50.8653430749568,4.48313334577439,3.27222983411085,1.12386562495534,3.20155849896996,1.0,50.454504576304,7.14994526467848,22.8258939797637,78.377,5
1999,50.4451370434482,4.78842505322162,3.59198037783612,1.41509811709537,3.08567678324746,1.0,50.3966081677337,6.48726735143027,23.3135697296238,78.742,4
2000,50.0358331385231,4.07758575804293,2.92586254490257,2.26519517669861,3.11224214697679,1.0,50.3370422682904,6.8137924585142,25.1029855568536,79.057,3
2001,49.6385027806598,0.955538346430316,-0.038731925617185,2.25168991597403,3.12380980266703,1.0,50.2947750682911,4.56713894364996,22.9671830154975,79.234,2
2002,49.2523674393258,1.70044732363073,0.761236853294676,1.55399465961345,3.44761809928778,1.0,50.2713507494489,3.0732472423635,22.2863842136065,79.409,1
2003,48.87487974038,2.795605965883,1.91588247774337,1.9743147047601,3.82716104473623,1.0,50.2483324888128,2.10659449044537,22.6272972866813,79.583,0
1979,50.7891686161789,3.16598822881279,2.03373170962784,8.29672198172402,4.95199153527265,1.0,51.3441634058674,4.03438928866804,18.3761632042836,73.692,10
1980,50.3205679983998,-0.256775732470302,-1.20932407292817,9.03310538792248,5.15353746651636,1.0,51.3316820721847,5.71636286358695,20.1098446894226,73.738,9
1981,50.0520528903637,2.53770126730302,1.53630241719003,9.46216408749201,5.64654125624258,1.0,51.3021412279737,8.59460069233457,19.4259131704272,73.89,8
1982,49.9439250729823,-1.80301378770601,-2.73469491077486,6.17840414954172,6.81405709441284,1.0,51.2578846722031,8.17720821228698,17.5368122809184,74.042,7
1983,49.9232284077432,4.58379098591793,3.63185804031656,3.91690878504356,6.32114425976717,1.0,51.2089672331993,6.61803546894282,16.6655934803103,74.194,6
1984,49.8830003733776,7.23645315874113,6.31198921610689,3.60787931289983,6.23641652963897,1.0,51.1580827437964,8.14090660192676,17.5224074224053,74.344,5
1985,49.7654113331785,4.1695753468006,3.25057626031526,3.16252525583639,6.4532192046686,1.0,51.1089087622716,6.56324383365547,16.603906126303,74.494,4
1986,49.7054297393338,3.46265505318908,2.51089496601867,2.01389253563396,6.62652265789842,1.0,51.0643291580197,6.19386958708484,16.8979771514343,74.644,3
1987,49.8926857604386,3.45462966457823,2.5340423430043,2.47738846679574,6.42027402288488,1.0,51.0235149034866,5.58752028345538,17.9735809845702,74.793,2
1988,50.2833103997195,4.17698239778066,3.23533792848181,3.52749985937888,6.0712777020948,1.0,50.9823280815196,5.59030223706963,19.0701007058615,74.942,1
1989,50.77464898173,3.67223783573645,2.69776021537939,3.92075948089523,5.87120600804653,1.0,50.9426847513223,6.6902646662395,19.4151106604887,75.089,0
