Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1991,100.333805677725,0.0,54.3597240396663,10.1656992114132,2.10777792782287,-0.154102908270389,12.5446382094284,46.0856399536133,3.21302870103258,39.276429270146,50.1053160179131,0.0,20.5877457717444,2.37277197771513,21.266,51.6541373756373,0.0,44.0615972806026,14.9427076463954,-0.108312888962658,-1.43424758492347,3.3818113361103,75.2864074707031,4.88342939776313,1.0,50.8138006112821,4.91529596120366,19.7864481240974,7.2,75.701,10,US_Invasion_of_Afghanistan v2
1992,101.130964399038,0.0,53.7939067301963,12.2581939426796,5.8066582674809,3.45435006377097,9.40370611580596,47.0863304138184,3.10669994738445,39.276429270146,50.1150503130024,0.0,22.2558392418475,2.37277197771513,21.355,51.9977277550372,0.0,46.0501444176036,16.3385296201642,3.52249718409405,2.09666864237157,2.27885434592147,75.694221496582,4.97046680768284,1.0,50.7624653696397,3.88429489766143,19.9505945023923,7.9,76.097,9,US_Invasion_of_Afghanistan v2
1993,101.99673440322,0.0,56.083672105885,13.3099404377511,4.2862747647727,1.9533400750758,9.8617828547541,48.0814590454102,3.19436485488102,39.276429270146,50.0994634874042,0.0,23.699508137932,2.37277197771513,21.444,52.1602619489498,0.0,48.2461403335599,20.287092675434,2.75179586183873,1.40572318185168,2.37032483639894,76.1023635864258,4.60435029507644,1.0,50.7103261430005,3.54563216381481,20.0446187019752,7.2,76.488,8,US_Invasion_of_Afghanistan v2
1994,102.99668425802,0.0,51.3744969469253,13.7575259765004,5.91821757420168,3.62008764422789,9.77058482007504,48.8493804931641,2.98548139412796,38.818463,50.0707226982263,0.0,23.7848080080338,2.37277197771513,21.534,52.1445550097576,0.0,47.3534821707435,18.7960037621226,4.02902272904724,2.76110896950976,2.13519841812374,76.5013885498047,4.2152646751779,1.0,50.6603956134294,4.89854133804845,21.0554591617453,6.175,76.875,7,US_Invasion_of_Afghanistan v2
1995,104.092606744234,0.0,49.3635520962941,14.6983047352002,6.82380530903693,4.57373511252364,8.28438262087263,49.6404914855957,2.98526793346878,36.5671446236559,50.0424971880954,0.0,26.6417688796377,2.511197667764608,21.624,51.9691102485906,0.0,47.2095352870886,19.7408464242136,2.68443073540719,1.46892917058395,2.09668848657614,76.9117736816406,3.8602457917389,1.0,50.6112779949862,6.59421797111052,22.4533816490568,5.633,77.257,6,US_Invasion_of_Afghanistan v2
1996,105.223953365424,0.0,47.5900259577279,16.0199733084527,6.70814719461485,4.48311790053538,8.11263278407877,50.4491996765137,2.89032319135792,47.5,50.0059673710904,0.0,25.8616583414564,2.6496233578140864,21.714,51.6754019155487,0.0,46.7417685500108,20.5835348178363,3.7727726858688,2.57246399417865,1.83076455933455,77.2962417602539,3.55498220635218,1.0,50.5612268677032,6.32428598750851,22.6870719902412,5.435,77.636,5,US_Invasion_of_Afghanistan v2
1997,106.412388709347,0.0,51.7133623221527,16.8507177625408,3.69458737205358,1.56621338449554,7.2790929776352,51.2601699829102,2.9312613859959,47.5,49.967328905976,0.0,26.3750598318219,2.7880490478635647,21.805,51.2932387708189,0.0,44.1174824705231,21.5098249494927,4.44712794186451,3.19716561383218,1.72444795356148,79.2883834838867,3.40556224418855,1.0,50.5096341925737,6.60334742359249,23.4283278026178,4.937,78.008,4,US_Invasion_of_Afghanistan v2
1998,107.593615693214,0.0,54.6406718900789,18.7003735741798,5.4451669660528,3.31010036868324,7.52603689563375,56.0795593261719,2.96317506414332,47.5,49.931871067816,0.0,26.9582488247479,2.926474737913044,21.895,50.8653430749568,0.0,41.1291544339911,21.5698941494774,4.48313334577439,3.27222983411085,1.12386562495534,80.4686508178711,3.20155849896996,1.0,50.454504576304,7.14994526467848,22.8258939797637,4.416,78.377,3,US_Invasion_of_Afghanistan v2
1999,108.686030843852,0.0,53.0238082183941,21.0812359207202,7.51266802985013,5.36751192158648,4.16270115884763,56.8763084411621,3.0867476555933,46.6195310771889,49.8947494602717,0.0,27.6891215738923,3.0649004279625216,21.986,50.4451370434482,0.0,37.7272880185298,24.4574111759769,4.78842505322162,3.59198037783612,1.41509811709537,80.8059387207031,3.08567678324746,1.0,50.3966081677337,6.48726735143027,23.3135697296238,4.115,78.742,2,US_Invasion_of_Afghanistan v2
2000,109.586047730495,0.0,56.4105766939353,21.3044539760593,4.11244481225516,2.08666349716371,4.47243371871953,57.6505813598633,3.04149948155863,47.3575747311828,49.8535443635096,0.0,28.6918018375399,3.203326118012,22.078,50.0358331385231,0.0,33.2676418736523,26.6594195867123,4.07758575804293,2.92586254490257,2.26519517669861,80.9791793823242,3.11224214697679,1.0,50.3370422682904,6.8137924585142,25.1029855568536,3.9,79.057,1,US_Invasion_of_Afghanistan v2
2001,110.219341359285,0.0,58.2364465802722,20.8314031128748,-9.4319740700862,-10.1194841059326,-11.7745360319214,58.4130592346191,2.94704613164021,47.500014516129,49.8144427519482,0.0,28.1426888544095,3.203326118012,22.169,49.6385027806598,0.0,52.4430470096709,24.3005371666905,0.955538346430316,-0.038731925617185,2.25168991597403,81.2859573364258,3.12380980266703,1.0,50.2947750682911,4.56713894364996,22.9671830154975,4.799,79.234,0,US_Invasion_of_Afghanistan v2
